Species,Subspecies,ID,Sex,Locality,Country,Altitude,Measurer,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Wing_Chord,Tail_Length,Gape Width
Z. silvanus,,1935.5.20.1,F,"Mt mbololo, Taita hills",Kenya,,FCM,13.57,7.48,3.26,3.1,16.8,9.66,55,39.5,5.13
Z. silvanus,,1938.2.11.26,M,Taita hills,Kenya,5300',FCM,13.43,7.27,2.93,3.27,16.34,10.17,58,49,5.32
Z. silvanus,,1938.2.11.27,M,Taita hills,Kenya,5300',FCM,12.03,7.41,2.87,3.48,15.15,10.28,58,48.5,5.01
Z. silvanus,,1938.2.11.28,F,Taita hills,Kenya,5300',FCM,12.52,7.89,3.07,3.58,16.33,10.33,58,49,5.46
Z. kikuyuensis,,1901.2.22.897,F,Mount Kinangop (aberdares range),,,FCM,12.09,6.61,2.67,3.16,17.3,8.69,59,43.5,5.38
Z. kikuyuensis,,1901.2.22.893,M,,,,FCM,12.19,6.43,2.38,2.73,18.11,8.55,58,45.5,5.13
Z. kikuyuensis,,1901.2.22.898,F,Mount Kinangop (aberdares range),,,FCM,12.16,6.52,2.73,2.78,16.4,10.18,60,45,5.24
Z. kikuyuensis,,1901.2.22.900,F,,,,FCM,13.08,6.7,2.35,2.81,17.8,10.88,59,49.5,5.74
Z. kikuyuensis,,1901.2.22.902,M,,,,FCM,12.3,6.8,2.3,2.92,17.51,9.66,59.5,47,4.79
Z. kikuyuensis,,1901.2.22.899,M,Mount Kinangop (aberdares range),,,FCM,13.24,7.12,2.81,2.99,16.15,10.28,61,52.5,4.94
Z. kikuyuensis,,1935.4.10.15,F,Mount Kinangop (aberdares range),,10000',FCM,12.42,6.74,2.89,2.91,17.88,10.7,58.5,49.5,5.77
Z. kulalensis,,1948.1.1,F,S. kulau,(NFD)Kenya,6000',FCM,14.79,8.14,2.99,3.53,18.38,9.99,61,48,5.94
Z. kulalensis,,1948.1.2,M,S. kulau,(NFD)Kenya,6000',FCM,13.41,8.11,3.01,3.81,17.88,10.65,63.5,53,5.7
Z. kulalensis,,1948.1.2,M,S. kulau,(NFD)Kenya,6000',FCM,13.82,8.36,3.2,3.93,17.92,10.38,64,52,6.48
Z. kaffensis,,1945.40.166,M,"Maji, SW Abyssinia highlands (south of lakeTthana)",Ethiopia,7800',FCM,12.99,6.67,2.9,3.2,17.29,10.16,61.5,49,5.48
Z. kaffensis,,1912.10.15.1932,M,"Jimma, S Abyssinia highlands (south of lakeTthana)",Ethiopia,,FCM,12.7,7.19,2.82,2.8,16.46,8.82,58.5,45.5,5.07
Z. kaffensis,,1912.10.15.1262,M,"Charada Forest, Kaffa, S Abyssinia highlands (south of lakeTthana)",Ethiopia,6000',FCM,12.35,7.06,2.53,3.02,16.23,8.98,60,45,5.91
Z. kaffensis,,1912.10.15.1263,M,"Charada Forest, Kaffa, S Abyssinia highlands (south of lakeTthana)",Ethiopia,6000',FCM,11.81,6.86,2.59,2.88,15.73,9.77,60.5,47.5,4.85
Z. kaffensis,,1912.10.15.1264,F,"Charada Forest, Kaffa, S Abyssinia highlands (south of lakeTthana)",Ethiopia,6000',FCM,12.63,6.65,2.44,2.42,16.4,10.2,56.5,46,5.25
